Centro Vaccinale	Codice Nsis	Fascia età	Totale Dosi Somministrate	Maschi	Femmine	Operatori Sanitari e Sociosanitari	Personale non sanitario	Ospiti strutture residenziali	Altro	Prima	Seconda	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	30-39	117	49	68	107	9	0	1	117	0	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	40-49	121	48	73	97	21	0	3	121	0	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	50-59	122	48	74	91	31	0	0	122	0	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	60-69	88	54	34	67	21	0	0	88	0	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	70-79	5	5	0	4	1	0	0	5	0	
PRESIDIO OSPEDALIERO S.G.MOSCATI AVERSA	150203	80-89	2	1	1	2	0	0	0	2	0	
RSA Cardito  - Cardito	150205	20-29	1	0	1	1	0	0	0	1	0	
RSA Cardito  - Cardito	150205	30-39	3	2	1	0	3	0	0	3	0	
RSA Cardito  - Cardito	150205	40-49	9	7	2	5	3	1	0	9	0	
RSA Cardito  - Cardito	150205	50-59	21	12	9	12	6	3	0	21	0	
RSA Cardito  - Cardito	150205	60-69	6	4	2	2	0	4	0	6	0	
RSA Cardito  - Cardito	150205	70-79	7	4	3	0	0	7	0	7	0	
RSA Cardito  - Cardito	150205	80-89	3	1	2	0	0	3	0	3	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	30-39	2	0	2	2	0	0	0	2	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	40-49	3	0	3	3	0	0	0	3	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	50-59	5	0	5	5	0	0	0	5	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	70-79	3	3	0	0	0	3	0	3	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	80-89	6	1	5	0	0	6	0	6	0	
RSA MASSA VALLO DELLA LUCANIA  -  Vallo della Lucania	150207	90+	7	2	5	0	0	7	0	7	0	
RSA VILLA MERCEDE RESIDENZIALE  - Serrara Fontana	150205	40-49	1	1	0	1	0	0	0	1	0	
S.  LEONARDO	150206	20-29	10	6	4	9	0	0	1	10	0	
S.  LEONARDO	150206	30-39	13	8	5	12	0	0	1	13	0	
S.  LEONARDO	150206	40-49	25	4	21	23	0	0	2	25	0	
S.  LEONARDO	150206	50-59	31	19	12	28	1	0	2	31	0	
S.  LEONARDO	150206	60-69	28	16	12	24	2	0	2	28	0	
S.  LEONARDO	150206	70-79	1	1	0	0	0	0	1	1	0	
Villa Arianna Hospital Srl - Scisciano	150206	70-79	1	1	0	1	0	0	0	1	0	
VILLA GIUSY 2  - MUGNANO	150205	20-29	3	0	3	2	0	0	1	3	0	
VILLA GIUSY 2  - MUGNANO	150205	30-39	1	0	1	1	0	0	0	1	0	
VILLA GIUSY 2  - MUGNANO	150205	40-49	1	0	1	1	0	0	0	1	0	
VILLA GIUSY 2  - MUGNANO	150205	50-59	1	0	1	1	0	0	0	1	0	
VILLA GIUSY 2  - MUGNANO	150205	60-69	2	1	1	1	0	1	0	2	0	
VILLA GIUSY 2  - MUGNANO	150205	70-79	3	1	2	0	0	3	0	3	0	
VILLA GIUSY 2  - MUGNANO	150205	80-89	14	4	10	0	0	11	3	14	0	
VILLA GIUSY 2  - MUGNANO	150205	90+	5	2	3	0	0	4	1	5	0	
VILLA SAN PAOLO  - GIUGLIANO	150205	40-49	1	1	0	1	0	0	0	1	0	
VILLA SAN PAOLO  - GIUGLIANO	150205	60-69	1	1	0	0	1	0	0	1	0
